ID,DATE4,PROGRAM,TPE,DIRECT,INDIRECT,N,NUMBER,REF
SS-B 6.2  Recognize ,2016Q4,SS-BILINGUAL,6.2  Recognize their own values and implicit and explicit biases,2.16,3.91,79,6.2,607
SS-B 6.3  Establish ,2016Q4,SS-BILINGUAL,6.3  Establish professional learning goals to improve their practice…,3.37,1.82,48,6.3,608
SS-B 6.4  Demonstrat,2016Q4,SS-BILINGUAL,6.4  Demonstrate how and when to involve other adults and to communicate effectively with peers and colleagues,2.52,3.48,92,6.4,609
SS-B 6.5  Demonstrat,2016Q4,SS-BILINGUAL,6.5  Demonstrate professional responsibility for all aspects of student learning and classroom management,3.53,1.69,20,6.5,610
SS-B 6.6  Understand,2016Q4,SS-BILINGUAL,6.6  Understand roles and responsibilities as mandated reporters,3.01,3.98,99,6.6,611
SS-B 6.7  Critically,2016Q4,SS-BILINGUAL,6.7  Critically analyze history of public education in California affects… school governance,3.65,3.77,93,6.7,612
SS TPE 1: Engaging a,2016Q1,SS-TRAD,TPE 1: Engaging and Supporting All Students,2.3,3.88,50,1,613
SS 1.1  Apply knowle,2016Q1,SS-TRAD,1.1  Apply knowledge of students to engage them in learning.  ,1.58,1.96,75,1.1,614
SS 1.2  Maintain ong,2016Q1,SS-TRAD,1.2  Maintain ongoing communication with students and families,1.49,2.23,38,1.2,615
SS 1.3  Connect subj,2016Q1,SS-TRAD,1.3  Connect subject matter to real-life contexts,3.71,2.08,62,1.3,616
SS 1.4  Use… appropr,2016Q1,SS-TRAD,1.4  Use… appropriate instructional strategies… within the Classroom,2.55,3.33,12,1.4,617
SS 1.5  Promote stud,2016Q1,SS-TRAD,1.5  Promote students' critical and creative thinking,2.16,2.32,96,1.5,618
SS 1.6  Provide a su,2016Q1,SS-TRAD,1.6  Provide a supportive learning environment,3.41,2.7,52,1.6,619
SS 1.7  Provide stud,2016Q1,SS-TRAD,1.7  Provide students to access  visual and performing arts,2.69,2.4,22,1.7,620
SS 1.8  Monitor stud,2016Q1,SS-TRAD,1.8  Monitor student learning and adjust instruction,3.37,2.83,11,1.8,621
SS TPE 2: Creating a,2016Q1,SS-TRAD,TPE 2: Creating and Maintaining Effective Environments for Student Learning,2.09,1.58,51,2,622
SS 2.1  Promote stud,2016Q1,SS-TRAD,2.1  Promote students' social-emotional growth,1.82,1.05,85,2.1,623
SS 2.2  Create learn,2016Q1,SS-TRAD,2.2  Create learning environments… that promote productive student learning,2.48,1.48,47,2.2,624
"SS 2.3  Establish, m",2016Q1,SS-TRAD,"2.3  Establish, maintain, and monitor inclusive learning environments ",1.51,3.21,89,2.3,625
SS 2.4  Know how to ,2016Q1,SS-TRAD,2.4  Know how to access resources to support students,3.89,3.85,76,2.4,626
SS 2.5  Maintain hig,2016Q1,SS-TRAD,2.5  Maintain high expectations for learning,3.61,3.59,88,2.5,627
SS 2.6  Establish an,2016Q1,SS-TRAD,2.6  Establish and maintain clear expectations for positive classroom behavior,2.32,2.95,17,2.6,628
SS TPE 3: Understand,2016Q1,SS-TRAD,TPE 3: Understanding and Organizing Subject Matter for Student Learning,1.15,3.63,81,3,629
SS 3.1  Demonstrate ,2016Q1,SS-TRAD,3.1  Demonstrate knowledge of subject matter,3.11,2.51,81,3.1,630
SS 3.2  Use knowledg,2016Q1,SS-TRAD,3.2  Use knowledge about students and learning goals to organize the curriculum,3.7,3.33,53,3.2,631
SS 3.3  Plan instruc,2016Q1,SS-TRAD,3.3  Plan instruction consistent with current subject-specific pedagogy,2.46,3.07,80,3.3,632
SS 3.4  Individually,2016Q1,SS-TRAD,3.4  Individually plan for effective subject matter instruction…,2.81,3.34,87,3.4,633
SS 3.5  Adapt and su,2016Q1,SS-TRAD,3.5  Adapt and support the acquisition of academic language,2.18,2.41,22,3.5,634
SS 3.6  Use a range ,2016Q1,SS-TRAD,3.6  Use a range of technology to facilitate students' equitable access to the curriculum.,3.72,2.71,25,3.6,635
SS 3.7  Model and de,2016Q1,SS-TRAD,3.7  Model and develop digital literacy by using technology,2,3.75,15,3.7,636
SS 3.8  Demonstrate ,2016Q1,SS-TRAD,3.8  Demonstrate knowledge of effective teaching strategies aligned with… educational technology standards.,2.85,3.87,63,3.8,637
SS TPE 4: Planning I,2016Q1,SS-TRAD,TPE 4: Planning Instruction and Designing Learning Experiences for All Students ,1.43,3.19,38,4,638
SS 4.1  Locate and a,2016Q1,SS-TRAD,4.1  Locate and apply information about students' current academic status,3.87,1.39,61,4.1,639
SS 4.2  Understand t,2016Q1,SS-TRAD,4.2  Understand the range and characteristics of typical and atypical child development,2.13,3.13,34,4.2,640
SS 4.3  Design instr,2016Q1,SS-TRAD,4.3  Design instruction and assessment that reflects the interconnectedness of academic content areas,1.46,3.65,25,4.3,641
"SS 4.4  Plan, design",2016Q1,SS-TRAD,"4.4  Plan, design, implement and monitor instruction",2.91,3.96,46,4.4,642
SS 4.5  Promote stud,2016Q1,SS-TRAD,4.5  Promote student success,3.45,2.49,70,4.5,643
SS 4.6  Access resou,2016Q1,SS-TRAD,4.6  Access resources for planning and instruction,1.9,3.81,18,4.6,644
SS 4.7  Plan instruc,2016Q1,SS-TRAD,4.7  Plan instruction that promotes a range of communication strategies,3.99,1.25,69,4.7,645
SS 4.8  Use digital ,2016Q1,SS-TRAD,4.8  Use digital tools and learning technologies across learning environments,2.72,1.12,56,4.8,646
SS TPE 5: Assessing ,2016Q1,SS-TRAD,TPE 5: Assessing Student Learning,1.41,2.69,49,5,647
SS 5.1  Apply knowle,2016Q1,SS-TRAD,5.1  Apply knowledge ofappropriate uses of different types of assessments,3.06,3.48,59,5.1,648
SS 5.2  Collect and ,2016Q1,SS-TRAD,5.2  Collect and analyze assessment data from multiple,3.65,2.6,70,5.2,649
SS 5.3  Involve all ,2016Q1,SS-TRAD,5.3  Involve all students in self-assessment and reflection on their learning goals,2.39,3.33,29,5.3,650
SS 5.4  Use technolo,2016Q1,SS-TRAD,5.4  Use technology as appropriate to support assessment administration,3.89,3.85,37,5.4,651
SS 5.5  Use assessme,2016Q1,SS-TRAD,5.5  Use assessment information to assist in understanding student progress in meeting learning goals.,1.37,2.91,42,5.5,652
SS 5.6  Work with sp,2016Q1,SS-TRAD,5.6  Work with specialists to interpret assessment results,1.7,2.53,76,5.6,653
SS 5.7  Interpret En,2016Q1,SS-TRAD,5.7  Interpret English learners' assessment data to identify their level of academic proficiency in English…as well as in their primary language,2.12,1.88,76,5.7,654
SS 5.8  Use assessme,2016Q1,SS-TRAD,"5.8  Use assessment data… to establish learning goals and to plan, differentiate, make accommodations and/or modify instruction.",1.98,1.36,92,5.8,655
SS TPE 6: Developing,2016Q1,SS-TRAD,TPE 6: Developing as a Professional Educator,3.68,1.09,69,6,656
SS 6.1  Reflect on t,2016Q1,SS-TRAD,6.1  Reflect on their own teaching practice,3.91,4,98,6.1,657
SS 6.2  Recognize th,2016Q1,SS-TRAD,6.2  Recognize their own values and implicit and explicit biases,1.05,1.5,65,6.2,658
SS 6.3  Establish pr,2016Q1,SS-TRAD,6.3  Establish professional learning goals to improve their practice…,3.3,2.51,38,6.3,659
SS 6.4  Demonstrate ,2016Q1,SS-TRAD,6.4  Demonstrate how and when to involve other adults and to communicate effectively with peers and colleagues,2.28,2.35,15,6.4,660
SS 6.5  Demonstrate ,2016Q1,SS-TRAD,6.5  Demonstrate professional responsibility for all aspects of student learning and classroom management,1.54,1.82,74,6.5,661
SS 6.6  Understand r,2016Q1,SS-TRAD,6.6  Understand roles and responsibilities as mandated reporters,3.12,1.22,85,6.6,662
SS 6.7  Critically a,2016Q1,SS-TRAD,6.7  Critically analyze history of public education in California affects… school governance,1.22,3.14,52,6.7,663
SS TPE 1: Engaging a,2016Q2,SS-TRAD,TPE 1: Engaging and Supporting All Students,3.72,1.58,24,1,664
SS 1.1  Apply knowle,2016Q2,SS-TRAD,1.1  Apply knowledge of students to engage them in learning.  ,3.23,1.78,35,1.1,665
SS 1.2  Maintain ong,2016Q2,SS-TRAD,1.2  Maintain ongoing communication with students and families,3,1.91,100,1.2,666
SS 1.3  Connect subj,2016Q2,SS-TRAD,1.3  Connect subject matter to real-life contexts,3.97,3.21,98,1.3,667
SS 1.4  Use… appropr,2016Q2,SS-TRAD,1.4  Use… appropriate instructional strategies… within the Classroom,3.93,3.31,93,1.4,668
SS 1.5  Promote stud,2016Q2,SS-TRAD,1.5  Promote students' critical and creative thinking,2.7,3.44,24,1.5,669
SS 1.6  Provide a su,2016Q2,SS-TRAD,1.6  Provide a supportive learning environment,2.95,3.47,87,1.6,670
SS 1.7  Provide stud,2016Q2,SS-TRAD,1.7  Provide students to access  visual and performing arts,1.36,2.78,92,1.7,671
SS 1.8  Monitor stud,2016Q2,SS-TRAD,1.8  Monitor student learning and adjust instruction,3.02,3.81,96,1.8,672
SS TPE 2: Creating a,2016Q2,SS-TRAD,TPE 2: Creating and Maintaining Effective Environments for Student Learning,3.1,3.16,11,2,673
SS 2.1  Promote stud,2016Q2,SS-TRAD,2.1  Promote students' social-emotional growth,3.91,2.1,30,2.1,674
SS 2.2  Create learn,2016Q2,SS-TRAD,2.2  Create learning environments… that promote productive student learning,1.41,3.13,42,2.2,675
"SS 2.3  Establish, m",2016Q2,SS-TRAD,"2.3  Establish, maintain, and monitor inclusive learning environments ",3.31,2.63,30,2.3,676
SS 2.4  Know how to ,2016Q2,SS-TRAD,2.4  Know how to access resources to support students,2.49,2.23,67,2.4,677
SS 2.5  Maintain hig,2016Q2,SS-TRAD,2.5  Maintain high expectations for learning,2.83,1.49,57,2.5,678
SS 2.6  Establish an,2016Q2,SS-TRAD,2.6  Establish and maintain clear expectations for positive classroom behavior,3.45,3.7,45,2.6,679
SS TPE 3: Understand,2016Q2,SS-TRAD,TPE 3: Understanding and Organizing Subject Matter for Student Learning,2.52,3.7,17,3,680
SS 3.1  Demonstrate ,2016Q2,SS-TRAD,3.1  Demonstrate knowledge of subject matter,2.36,2.22,44,3.1,681
SS 3.2  Use knowledg,2016Q2,SS-TRAD,3.2  Use knowledge about students and learning goals to organize the curriculum,3.26,3.2,25,3.2,682
SS 3.3  Plan instruc,2016Q2,SS-TRAD,3.3  Plan instruction consistent with current subject-specific pedagogy,1.63,1.09,55,3.3,683
SS 3.4  Individually,2016Q2,SS-TRAD,3.4  Individually plan for effective subject matter instruction…,2.68,3.35,91,3.4,684
SS 3.5  Adapt and su,2016Q2,SS-TRAD,3.5  Adapt and support the acquisition of academic language,3.5,1.63,27,3.5,685
SS 3.6  Use a range ,2016Q2,SS-TRAD,3.6  Use a range of technology to facilitate students' equitable access to the curriculum.,2.79,3.05,42,3.6,686
SS 3.7  Model and de,2016Q2,SS-TRAD,3.7  Model and develop digital literacy by using technology,1.78,1.98,45,3.7,687
SS 3.8  Demonstrate ,2016Q2,SS-TRAD,3.8  Demonstrate knowledge of effective teaching strategies aligned with… educational technology standards.,2.4,1.02,88,3.8,688
SS TPE 4: Planning I,2016Q2,SS-TRAD,TPE 4: Planning Instruction and Designing Learning Experiences for All Students ,3.25,2.17,87,4,689
SS 4.1  Locate and a,2016Q2,SS-TRAD,4.1  Locate and apply information about students' current academic status,1.97,2.88,70,4.1,690
SS 4.2  Understand t,2016Q2,SS-TRAD,4.2  Understand the range and characteristics of typical and atypical child development,2.55,1.54,68,4.2,691
SS 4.3  Design instr,2016Q2,SS-TRAD,4.3  Design instruction and assessment that reflects the interconnectedness of academic content areas,1.06,1.09,81,4.3,692
"SS 4.4  Plan, design",2016Q2,SS-TRAD,"4.4  Plan, design, implement and monitor instruction",3.34,3.41,58,4.4,693
SS 4.5  Promote stud,2016Q2,SS-TRAD,4.5  Promote student success,3.78,3.03,91,4.5,694
SS 4.6  Access resou,2016Q2,SS-TRAD,4.6  Access resources for planning and instruction,3.53,2.95,93,4.6,695
SS 4.7  Plan instruc,2016Q2,SS-TRAD,4.7  Plan instruction that promotes a range of communication strategies,3.86,2.7,64,4.7,696
SS 4.8  Use digital ,2016Q2,SS-TRAD,4.8  Use digital tools and learning technologies across learning environments,1.5,3.45,17,4.8,697
SS TPE 5: Assessing ,2016Q2,SS-TRAD,TPE 5: Assessing Student Learning,2.67,2.47,97,5,698
SS 5.1  Apply knowle,2016Q2,SS-TRAD,5.1  Apply knowledge ofappropriate uses of different types of assessments,2.84,3.79,73,5.1,699
SS 5.2  Collect and ,2016Q2,SS-TRAD,5.2  Collect and analyze assessment data from multiple,1.98,2.79,53,5.2,700
SS 5.3  Involve all ,2016Q2,SS-TRAD,5.3  Involve all students in self-assessment and reflection on their learning goals,3.47,3.79,74,5.3,701
SS 5.4  Use technolo,2016Q2,SS-TRAD,5.4  Use technology as appropriate to support assessment administration,1.18,1.32,36,5.4,702
SS 5.5  Use assessme,2016Q2,SS-TRAD,5.5  Use assessment information to assist in understanding student progress in meeting learning goals.,1.28,3.84,55,5.5,703
SS 5.6  Work with sp,2016Q2,SS-TRAD,5.6  Work with specialists to interpret assessment results,2.47,3.6,19,5.6,704
SS 5.7  Interpret En,2016Q2,SS-TRAD,5.7  Interpret English learners' assessment data to identify their level of academic proficiency in English…as well as in their primary language,2.6,2.55,68,5.7,705
SS 5.8  Use assessme,2016Q2,SS-TRAD,"5.8  Use assessment data… to establish learning goals and to plan, differentiate, make accommodations and/or modify instruction.",3.68,2.79,51,5.8,706
SS TPE 6: Developing,2016Q2,SS-TRAD,TPE 6: Developing as a Professional Educator,2.09,2.59,37,6,707
SS 6.1  Reflect on t,2016Q2,SS-TRAD,6.1  Reflect on their own teaching practice,2.62,3.84,90,6.1,708
SS 6.2  Recognize th,2016Q2,SS-TRAD,6.2  Recognize their own values and implicit and explicit biases,3.65,1.79,52,6.2,709
SS 6.3  Establish pr,2016Q2,SS-TRAD,6.3  Establish professional learning goals to improve their practice…,2.34,2.82,33,6.3,710
SS 6.4  Demonstrate ,2016Q2,SS-TRAD,6.4  Demonstrate how and when to involve other adults and to communicate effectively with peers and colleagues,3,2.98,17,6.4,711
SS 6.5  Demonstrate ,2016Q2,SS-TRAD,6.5  Demonstrate professional responsibility for all aspects of student learning and classroom management,1.28,1.82,63,6.5,712
SS 6.6  Understand r,2016Q2,SS-TRAD,6.6  Understand roles and responsibilities as mandated reporters,1.37,4,45,6.6,713
SS 6.7  Critically a,2016Q2,SS-TRAD,6.7  Critically analyze history of public education in California affects… school governance,3.96,3.73,65,6.7,714
SS TPE 1: Engaging a,2016Q3,SS-TRAD,TPE 1: Engaging and Supporting All Students,2.51,2.31,19,1,715
SS 1.1  Apply knowle,2016Q3,SS-TRAD,1.1  Apply knowledge of students to engage them in learning.  ,1.43,3.06,10,1.1,716
SS 1.2  Maintain ong,2016Q3,SS-TRAD,1.2  Maintain ongoing communication with students and families,3.22,3.92,98,1.2,717
SS 1.3  Connect subj,2016Q3,SS-TRAD,1.3  Connect subject matter to real-life contexts,2.69,1.79,11,1.3,718
SS 1.4  Use… appropr,2016Q3,SS-TRAD,1.4  Use… appropriate instructional strategies… within the Classroom,3.01,3.16,98,1.4,719
SS 1.5  Promote stud,2016Q3,SS-TRAD,1.5  Promote students' critical and creative thinking,3.32,2.46,78,1.5,720
SS 1.6  Provide a su,2016Q3,SS-TRAD,1.6  Provide a supportive learning environment,1.47,3.92,16,1.6,721
SS 1.7  Provide stud,2016Q3,SS-TRAD,1.7  Provide students to access  visual and performing arts,2.72,3.33,41,1.7,722
SS 1.8  Monitor stud,2016Q3,SS-TRAD,1.8  Monitor student learning and adjust instruction,2.5,2.94,17,1.8,723
SS TPE 2: Creating a,2016Q3,SS-TRAD,TPE 2: Creating and Maintaining Effective Environments for Student Learning,3.26,1.78,42,2,724
SS 2.1  Promote stud,2016Q3,SS-TRAD,2.1  Promote students' social-emotional growth,2.72,2.62,94,2.1,725
SS 2.2  Create learn,2016Q3,SS-TRAD,2.2  Create learning environments… that promote productive student learning,1.37,3.19,91,2.2,726
"SS 2.3  Establish, m",2016Q3,SS-TRAD,"2.3  Establish, maintain, and monitor inclusive learning environments ",1.63,2.92,79,2.3,727
SS 2.4  Know how to ,2016Q3,SS-TRAD,2.4  Know how to access resources to support students,2.5,2.28,33,2.4,728
SS 2.5  Maintain hig,2016Q3,SS-TRAD,2.5  Maintain high expectations for learning,3.47,1.95,43,2.5,729
SS 2.6  Establish an,2016Q3,SS-TRAD,2.6  Establish and maintain clear expectations for positive classroom behavior,1.6,3.5,63,2.6,730
SS TPE 3: Understand,2016Q3,SS-TRAD,TPE 3: Understanding and Organizing Subject Matter for Student Learning,1.91,3.68,72,3,731
SS 3.1  Demonstrate ,2016Q3,SS-TRAD,3.1  Demonstrate knowledge of subject matter,2.93,2.85,80,3.1,732
SS 3.2  Use knowledg,2016Q3,SS-TRAD,3.2  Use knowledge about students and learning goals to organize the curriculum,2.95,2.85,97,3.2,733
SS 3.3  Plan instruc,2016Q3,SS-TRAD,3.3  Plan instruction consistent with current subject-specific pedagogy,2.16,2.77,32,3.3,734
SS 3.4  Individually,2016Q3,SS-TRAD,3.4  Individually plan for effective subject matter instruction…,2.61,3.35,45,3.4,735
SS 3.5  Adapt and su,2016Q3,SS-TRAD,3.5  Adapt and support the acquisition of academic language,3.35,2.94,46,3.5,736
SS 3.6  Use a range ,2016Q3,SS-TRAD,3.6  Use a range of technology to facilitate students' equitable access to the curriculum.,3.17,2.86,29,3.6,737
SS 3.7  Model and de,2016Q3,SS-TRAD,3.7  Model and develop digital literacy by using technology,2.7,3.18,73,3.7,738
SS 3.8  Demonstrate ,2016Q3,SS-TRAD,3.8  Demonstrate knowledge of effective teaching strategies aligned with… educational technology standards.,2.59,1.04,82,3.8,739
SS TPE 4: Planning I,2016Q3,SS-TRAD,TPE 4: Planning Instruction and Designing Learning Experiences for All Students ,3.24,3.17,81,4,740
SS 4.1  Locate and a,2016Q3,SS-TRAD,4.1  Locate and apply information about students' current academic status,3.53,1.74,21,4.1,741
SS 4.2  Understand t,2016Q3,SS-TRAD,4.2  Understand the range and characteristics of typical and atypical child development,3.59,1.92,73,4.2,742
SS 4.3  Design instr,2016Q3,SS-TRAD,4.3  Design instruction and assessment that reflects the interconnectedness of academic content areas,1.2,3.57,68,4.3,743
"SS 4.4  Plan, design",2016Q3,SS-TRAD,"4.4  Plan, design, implement and monitor instruction",2.92,1.68,97,4.4,744
SS 4.5  Promote stud,2016Q3,SS-TRAD,4.5  Promote student success,3.03,3.56,13,4.5,745
SS 4.6  Access resou,2016Q3,SS-TRAD,4.6  Access resources for planning and instruction,1.78,3.56,65,4.6,746
SS 4.7  Plan instruc,2016Q3,SS-TRAD,4.7  Plan instruction that promotes a range of communication strategies,3.01,2.6,19,4.7,747
SS 4.8  Use digital ,2016Q3,SS-TRAD,4.8  Use digital tools and learning technologies across learning environments,3.2,1.95,56,4.8,748
SS TPE 5: Assessing ,2016Q3,SS-TRAD,TPE 5: Assessing Student Learning,4,3.06,83,5,749
SS 5.1  Apply knowle,2016Q3,SS-TRAD,5.1  Apply knowledge ofappropriate uses of different types of assessments,2.41,2.74,56,5.1,750
SS 5.2  Collect and ,2016Q3,SS-TRAD,5.2  Collect and analyze assessment data from multiple,1.12,3.09,53,5.2,751
SS 5.3  Involve all ,2016Q3,SS-TRAD,5.3  Involve all students in self-assessment and reflection on their learning goals,2.28,1.11,31,5.3,752
SS 5.4  Use technolo,2016Q3,SS-TRAD,5.4  Use technology as appropriate to support assessment administration,1.16,2.7,39,5.4,753
SS 5.5  Use assessme,2016Q3,SS-TRAD,5.5  Use assessment information to assist in understanding student progress in meeting learning goals.,3.22,1.09,61,5.5,754
SS 5.6  Work with sp,2016Q3,SS-TRAD,5.6  Work with specialists to interpret assessment results,1.68,2.46,23,5.6,755
SS 5.7  Interpret En,2016Q3,SS-TRAD,5.7  Interpret English learners' assessment data to identify their level of academic proficiency in English…as well as in their primary language,1.26,3.29,28,5.7,756
SS 5.8  Use assessme,2016Q3,SS-TRAD,"5.8  Use assessment data… to establish learning goals and to plan, differentiate, make accommodations and/or modify instruction.",1.23,3.91,14,5.8,757
SS TPE 6: Developing,2016Q3,SS-TRAD,TPE 6: Developing as a Professional Educator,3.49,1.56,14,6,758
SS 6.1  Reflect on t,2016Q3,SS-TRAD,6.1  Reflect on their own teaching practice,3.82,1.63,94,6.1,759
SS 6.2  Recognize th,2016Q3,SS-TRAD,6.2  Recognize their own values and implicit and explicit biases,1.76,1.15,94,6.2,760
SS 6.3  Establish pr,2016Q3,SS-TRAD,6.3  Establish professional learning goals to improve their practice…,3.06,1.9,17,6.3,761
SS 6.4  Demonstrate ,2016Q3,SS-TRAD,6.4  Demonstrate how and when to involve other adults and to communicate effectively with peers and colleagues,3.2,2.63,42,6.4,762
SS 6.5  Demonstrate ,2016Q3,SS-TRAD,6.5  Demonstrate professional responsibility for all aspects of student learning and classroom management,1.13,1.72,83,6.5,763
SS 6.6  Understand r,2016Q3,SS-TRAD,6.6  Understand roles and responsibilities as mandated reporters,3.7,1.26,46,6.6,764
SS 6.7  Critically a,2016Q3,SS-TRAD,6.7  Critically analyze history of public education in California affects… school governance,1.3,2.29,33,6.7,765
SS TPE 1: Engaging a,2016Q4,SS-TRAD,TPE 1: Engaging and Supporting All Students,2.88,1.04,92,1,766
SS 1.1  Apply knowle,2016Q4,SS-TRAD,1.1  Apply knowledge of students to engage them in learning.  ,2.47,2.16,21,1.1,767
SS 1.2  Maintain ong,2016Q4,SS-TRAD,1.2  Maintain ongoing communication with students and families,2.95,2.27,95,1.2,768
SS 1.3  Connect subj,2016Q4,SS-TRAD,1.3  Connect subject matter to real-life contexts,1.11,2.11,95,1.3,769
SS 1.4  Use… appropr,2016Q4,SS-TRAD,1.4  Use… appropriate instructional strategies… within the Classroom,1.01,3.27,54,1.4,770
SS 1.5  Promote stud,2016Q4,SS-TRAD,1.5  Promote students' critical and creative thinking,2.22,3.49,21,1.5,771
SS 1.6  Provide a su,2016Q4,SS-TRAD,1.6  Provide a supportive learning environment,2.17,1.63,36,1.6,772
SS 1.7  Provide stud,2016Q4,SS-TRAD,1.7  Provide students to access  visual and performing arts,3.55,3.42,85,1.7,773
SS 1.8  Monitor stud,2016Q4,SS-TRAD,1.8  Monitor student learning and adjust instruction,3.29,3.08,42,1.8,774
SS TPE 2: Creating a,2016Q4,SS-TRAD,TPE 2: Creating and Maintaining Effective Environments for Student Learning,1.6,3.73,39,2,775
SS 2.1  Promote stud,2016Q4,SS-TRAD,2.1  Promote students' social-emotional growth,1.58,2.74,92,2.1,776
SS 2.2  Create learn,2016Q4,SS-TRAD,2.2  Create learning environments… that promote productive student learning,2.84,2.93,37,2.2,777
"SS 2.3  Establish, m",2016Q4,SS-TRAD,"2.3  Establish, maintain, and monitor inclusive learning environments ",3.2,2.66,29,2.3,778
SS 2.4  Know how to ,2016Q4,SS-TRAD,2.4  Know how to access resources to support students,1.07,3.85,41,2.4,779
SS 2.5  Maintain hig,2016Q4,SS-TRAD,2.5  Maintain high expectations for learning,2.31,3.61,22,2.5,780
SS 2.6  Establish an,2016Q4,SS-TRAD,2.6  Establish and maintain clear expectations for positive classroom behavior,2.1,3.15,94,2.6,781
SS TPE 3: Understand,2016Q4,SS-TRAD,TPE 3: Understanding and Organizing Subject Matter for Student Learning,1.28,2.69,86,3,782
SS 3.1  Demonstrate ,2016Q4,SS-TRAD,3.1  Demonstrate knowledge of subject matter,1.69,1.4,91,3.1,783
SS 3.2  Use knowledg,2016Q4,SS-TRAD,3.2  Use knowledge about students and learning goals to organize the curriculum,1.75,2.34,12,3.2,784
SS 3.3  Plan instruc,2016Q4,SS-TRAD,3.3  Plan instruction consistent with current subject-specific pedagogy,2.87,2.02,81,3.3,785
SS 3.4  Individually,2016Q4,SS-TRAD,3.4  Individually plan for effective subject matter instruction…,3.84,2.37,71,3.4,786
SS 3.5  Adapt and su,2016Q4,SS-TRAD,3.5  Adapt and support the acquisition of academic language,3.4,1.06,83,3.5,787
SS 3.6  Use a range ,2016Q4,SS-TRAD,3.6  Use a range of technology to facilitate students' equitable access to the curriculum.,2.46,1.13,19,3.6,788
SS 3.7  Model and de,2016Q4,SS-TRAD,3.7  Model and develop digital literacy by using technology,3.91,1.04,92,3.7,789
SS 3.8  Demonstrate ,2016Q4,SS-TRAD,3.8  Demonstrate knowledge of effective teaching strategies aligned with… educational technology standards.,2.3,2.83,27,3.8,790
SS TPE 4: Planning I,2016Q4,SS-TRAD,TPE 4: Planning Instruction and Designing Learning Experiences for All Students ,1.14,1.34,76,4,791
SS 4.1  Locate and a,2016Q4,SS-TRAD,4.1  Locate and apply information about students' current academic status,3.89,3.95,82,4.1,792
SS 4.2  Understand t,2016Q4,SS-TRAD,4.2  Understand the range and characteristics of typical and atypical child development,2.49,2.25,96,4.2,793
SS 4.3  Design instr,2016Q4,SS-TRAD,4.3  Design instruction and assessment that reflects the interconnectedness of academic content areas,2.43,1.39,12,4.3,794
"SS 4.4  Plan, design",2016Q4,SS-TRAD,"4.4  Plan, design, implement and monitor instruction",3.65,1.31,37,4.4,795
SS 4.5  Promote stud,2016Q4,SS-TRAD,4.5  Promote student success,1.72,3.68,20,4.5,796
SS 4.6  Access resou,2016Q4,SS-TRAD,4.6  Access resources for planning and instruction,3.58,1.66,84,4.6,797
SS 4.7  Plan instruc,2016Q4,SS-TRAD,4.7  Plan instruction that promotes a range of communication strategies,3.55,1.27,36,4.7,798
SS 4.8  Use digital ,2016Q4,SS-TRAD,4.8  Use digital tools and learning technologies across learning environments,2.49,3.44,45,4.8,799
SS TPE 5: Assessing ,2016Q4,SS-TRAD,TPE 5: Assessing Student Learning,1.63,3.42,71,5,800
SS 5.1  Apply knowle,2016Q4,SS-TRAD,5.1  Apply knowledge ofappropriate uses of different types of assessments,1.02,2.9,93,5.1,801
SS 5.2  Collect and ,2016Q4,SS-TRAD,5.2  Collect and analyze assessment data from multiple,2.81,3.5,83,5.2,802
SS 5.3  Involve all ,2016Q4,SS-TRAD,5.3  Involve all students in self-assessment and reflection on their learning goals,1.4,2.61,18,5.3,803
SS 5.4  Use technolo,2016Q4,SS-TRAD,5.4  Use technology as appropriate to support assessment administration,2.76,2.06,72,5.4,804
SS 5.5  Use assessme,2016Q4,SS-TRAD,5.5  Use assessment information to assist in understanding student progress in meeting learning goals.,2.8,2.13,97,5.5,805
SS 5.6  Work with sp,2016Q4,SS-TRAD,5.6  Work with specialists to interpret assessment results,1.98,3.26,61,5.6,806
SS 5.7  Interpret En,2016Q4,SS-TRAD,5.7  Interpret English learners' assessment data to identify their level of academic proficiency in English…as well as in their primary language,2.13,4,27,5.7,807
SS 5.8  Use assessme,2016Q4,SS-TRAD,"5.8  Use assessment data… to establish learning goals and to plan, differentiate, make accommodations and/or modify instruction.",2.18,2.74,98,5.8,808
SS TPE 6: Developing,2016Q4,SS-TRAD,TPE 6: Developing as a Professional Educator,2.28,3.97,64,6,809
SS 6.1  Reflect on t,2016Q4,SS-TRAD,6.1  Reflect on their own teaching practice,2.84,3.8,59,6.1,810
SS 6.2  Recognize th,2016Q4,SS-TRAD,6.2  Recognize their own values and implicit and explicit biases,2.7,2.01,44,6.2,811
SS 6.3  Establish pr,2016Q4,SS-TRAD,6.3  Establish professional learning goals to improve their practice…,3.49,1.88,88,6.3,812
SS 6.4  Demonstrate ,2016Q4,SS-TRAD,6.4  Demonstrate how and when to involve other adults and to communicate effectively with peers and colleagues,1.9,3.29,75,6.4,813
SS 6.5  Demonstrate ,2016Q4,SS-TRAD,6.5  Demonstrate professional responsibility for all aspects of student learning and classroom management,2.1,3.84,48,6.5,814
SS 6.6  Understand r,2016Q4,SS-TRAD,6.6  Understand roles and responsibilities as mandated reporters,2.96,1.71,60,6.6,815
SS 6.7  Critically a,2016Q4,SS-TRAD,6.7  Critically analyze history of public education in California affects… school governance,1.92,3.5,28,6.7,816
